ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,whaleimage
1017,,N,1,N,Y,C 2 pen R for,C 1 or 2 pen,C 1 pen,1017_2019.jpg
1036,Peace,N,2,Y,Y,C 4 asym,C 2 pen,C 2 pen or C isl,1036.jpg
1042,,Y,2,N,N,,B no isl,B no isl,1042_2019.jpg
1112,Javelin,N,2,Y,Y,C 2 pen R for,C 1 pen,C 0 or 1 pen,1112-Javelin_2019.jpg
1142,Kleenex,Y,2,N,N,,B no isl,B no isl,1142-Kleenex.jpg
1149,Cream,N,2,Y,Y,,C 0 pen,C 0 pen,1149-Cream.jpg
1209,EL,Y,2,Y,Y,,B 2 isl,B 1 isl,1209-EL_2019.jpg
1227,Sliver,Y,2,N,N,,B long coam w isl,B long coam w isl,1227-Sliver_2019.jpg
1245,Slalom,N,1,Y,Y,,C 1 pen or C isl,C 2 pen or C isl,1245-Slalom_2019.jpg
1249,Lacrosse,N,2,Y,Y,,C 1 pen,C 2 pen,1249-Lacrosse_2019.jpg
1271,Dropcloth,Y,2,Y,Y,,B long coam,B long coam,1271-Dropcloth_2019.jpg
1307,,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,1307_2019.jpg
1317,Ergo,N,2,N,N,C 4 asym,C 2 pen or C isl,C 2 pen,1317-Ergo.jpg
1403,Meridian,Y,2,N,N,,B 1 isl,B 2 isl,1403-Meridian_2019.jpg
1419,,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,1419_2019.jpg
1423,Old Blunt Tips,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,1423-Old Blunt Tips.jpg
1427,,N,2,Y,Y,,C 1 pen,C 2 pen,1427.jpg
1429,Scarf,Y,2,N,N,,B 1 isl,B 2 isl,1429-Scarf_2019.jpg
1506,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,1506_2019.jpg
1507,Manta,N,1,N,Y,C 2 pen L for,C 1 or 2 pen,C 1 pen,1507-Manta_2019.jpg
1604,,N,2,Y,Y,C 4 asym,C 2 pen,C 2 pen,1604.jpg
1616,Owl,N,1,N,N,,C 2 pen or dbl,C 2 pen or C isl,1616_2019(1).jpg
1616,Owl,N,1,N,N,,C 2 pen or dbl,C 2 pen or C isl,1616_2019.jpg
1628,Peregrine,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen,1628-Peregrine_2019.jpg
1703,Wolf,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,1703-Wolf_2019.jpg
1703,Wolf,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,1703-Wolf_2019(1).jpg
1708,,Y,2,N,N,,B 1 isl,B 1 isl,1708.jpg
1708,,Y,2,N,N,,B 1 isl,B 1 isl,1708_2019.jpg
1720,,Y,1,N,N,B 2 isl R for,B long coam w isl,B long coam no isl,1720_2019.jpg
1801,Sparky,Y,2,Y,Y,,B long coam w isl,B long coam w isl,1801-Sparky_2019.jpg
1812,War,Y,2,Y,Y,,B no isl,B no isl,1812.jpg
1817,Silt,N,2,N,N,,C 1 pen,C 2 pen or C isl,1817-Silt_2019c.jpg
1817,Silt,Y,2,N,N,,B long coam,B long coam,1817-Silt_2019b.jpg
1820,Cello,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,1820-Cello_2019.jpg
1934,Sagamore,N,1,Y,Y,C any 4 asym,C 2 pen,C 2 pen,1934-Sagamore_2019.jpg
1971,Nantucket,Y,1,N,N,B 2 isl R for,B 1 isl,B 1 isl,1971-Nantucket_2019.jpg
2010,Gandalf,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,2010_2019.jpg
2040,Naevus,Y,2,N,N,,B long coam w isl,B long coam w isl,2040-Naevus.jpg
2209,,Y,2,N,N,,B 2 isl,B 1 or 2 isl,2209.jpg
2223,Calvin,Y,3,N,N,B 2 isl R for,B 1 isl,B 1 isl,2223-Calvin-2019.jpg
2271,Prescott,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,2271-Prescott_2019.jpg
2303,,Y,1,N,N,B 2 isl L for,B 2 isl,B 1 isl,2303_2019.jpg
2340,Swan,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen or dbl,2340_2019.jpg
2427,Cicatrix,N,2,Y,Y,,C isl,C isl,2427-Cicatrix.jpg
2503,Boomerang,Y,1,N,N,,B no isl,B no isl,2503-Boomerang_2019.jpg
2503,Boomerang,Y,4,N,N,,B no isl,B no isl,2503-Boomerang_2019.jpg
2510,Mitosis,Y,2,N,N,B 2 isl R for,B 2 isl,B 1 isl,2510_2019.jpg
2510,Mitosis,Y,4,N,N,B 2 isl R for,B 2 isl,B 1 isl,2510_2019.jpg
2642,Echo,Y,2,N,Y,,B 1 isl,B no isl,2642-Echo-2019.jpg
2642,Echo,Y,2,N,Y,,B 1 isl,B no isl,2642-Echo_2019.jpg
2681,Hyphen,Y,2,N,Y,,B no isl,B no isl,2681-Hyphen_2019.jpg
2681,Hyphen,Y,4,N,Y,,B no isl,B no isl,2681-Hyphen_2019.jpg
2705,Silver,Y,2,Y,N,B 1 sym isl,B 2 isl,B 1 isl,2705-Silver_2019.jpg
2743,,Y,3,Y,Y,,B long coam w isl,B long coam no isl,2743_2019.jpg
2750,Haley,N,2,N,N,,C 1 pen,C 1 or 2 pen,2750 Haley_2019.jpg
2753,Arpeggio,Y,2,Y,Y,,B long pen coam,B long pen coam,2753-Arpeggio_2019.jpg
2760,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,2760_2019.jpg
2791,,N,2,Y,Y,,C 1 or 2 pen,C 1 pen,2791-2019.jpg
2904,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,2904_2019.jpg
2904,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,2904_2019.jpg
2910,,N,2,N,Y,C 1 sym,C 1 pen,C 1 pen,2910_2019.jpg
2920,,Y,2,Y,Y,,B long coam no isl,B long coam no isl,2920_2019.jpg
2930,Specs,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,2930-Specs.jpg
2930,Specs,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,2930-Specs_2019.jpg
3020,Giza,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,3020-Giza_2019.jpg
3101,Harmonia,N,2,Y,Y,C 1 sym,C 1 or 2 pen,C 1 pen,3101- Harmonia_2019.jpg
3110,,Y,2,N,N,,B 1 pen on coam,B dbl pen on coam,3110_2019.jpg
3115,Harmony,Y,2,N,N,,B long pen coam,B long pen coam,3115-Harmony_2019.jpg
3115,Harmony,Y,3,N,N,,B long pen coam,B long pen coam,3115-Harmony_2019.jpg
3125,,N,2,Y,Y,C any 4 asym,C 1 pen,C 1 or 2 pen,3125.jpg
3125,,N,2,Y,Y,C any 4 asym,C 1 pen,C 1 or 2 pen,3125_2019.jpg
3140,Lou,N,1,Y,Y,C any 4 asym,C 2 pen,C 3 pen or C isl,3140-Lou.jpg
3157,,N,2,Y,Y,,C 1 pen,C 2 pen,3157.jpg
3191,,N,2,Y,Y,,C 1 or 2 pen or C isl,C 1 or 2 pen,3191_2019.jpg
3193,Toothbrush,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,3193-Toothbrush_2019.jpg
3194,,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,3194-2019.jpg
3230,Infinity,N,2,Y,Y,,C dbl or C isl,C 1 pen or C isl,3230-Infinity_2019.jpg
3229,,N,2,Y,Y,,C 2 pen,C 1 pen,3229_left.jpg
3229,,N,2,Y,Y,,C 2 pen,C 1 pen,3229_right.jpg
3232,Lobster,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,3232-Lobster-2019.jpg
3245,,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,3245_2019.jpg
3296,,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen,3296.jpg
3301,Neptune,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,3301_Neptune_2019.jpg
3310,,N,2,Y,Y,C 2 pen L for,C 1 or 2 pen,C 1 or 2 pen,3310.jpg
3312,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,3312.jpg
3317,,Y,1,Y,Y,,B long pen coam,B long pen coam,3317_2019.jpg
3333,,Y,2,N,N,,B no isl,B 1 isl,3333_2019.jpg
3351,,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,3351_2019.jpg
3380,Lemur,Y,1,Y,Y,,B 1 isl,B 2 isl or B fused isl,3380-Lemur-2019.jpg
3380,Lemur,Y,1,Y,Y,,B 1 isl,B 2 isl or B fused isl,3380-Lemur-2019(1).jpg
3390,,Y,2,Y,Y,B 1 sym isl,B 1 isl,B 1 isl,3390_2019.jpg
3390,,Y,3,Y,Y,B 1 sym isl,B 1 isl,B 1 isl,3390_2019.jpg
3420,Platypus,Y,2,Y,Y,,B long coam w isl,B long coam w isl,3420-Platypus.jpg
3420,Platypus,Y,2,Y,Y,,B long coam w isl,B long coam w isl,3420-Platypus_2019.jpg
3440,Cypress,N,1,Y,Y,,C isl,C isl,3440-Cypress.jpg
3442,Armada,N,2,Y,Y,,C no pen,C no pen,3442-Armada-2019.jpg
3510,,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,3510_2019.jpg
3510,,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,3510_2019(1).jpg
3520,Millipede,Y,4,N,N,B 1 sym isl,B long coam w isl,B long coam w isl,3520-Millipede_2019.jpg
3530,Ruffian,Y,1,N,N,B 2 isl R for,B long coam w isl,B long coam w isl,3530-Ruffian_2019.jpg
3530,Ruffian,Y,2,N,N,B 2 isl R for,B long coam w isl,B long coam w isl,3530-Ruffian_2019.jpg
3546,Halo,N,4,N,Y,,C 1 pen,C 2 pen,3546-Halo.jpg
3546,Halo,N,4,N,Y,,C 1 pen,C 2 pen,3546-Halo_2019.jpg
3550,,N,2,Y,Y,,C 2 pen,C 1 pen,3550_2019.jpg
3560,,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,3560_2019.jpg
3579,,N,2,Y,Y,,C 2 pen,C 3 pen,3579_2019.jpg
3617,Salem,N,1,Y,Y,,C 0 or 1 pen,C 0 or 1 pen,3617-Salem_2019.jpg
3623,Bongo,N,2,N,N,C all 4 sym,C 2 pen,C 2 pen,3623-Bongo_2019.jpg
3646,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,3646.jpg
3651,,N,2,Y,Y,,C 2 pen,C 2 pen,3651_2019.jpg
3660,Sirius,N,3,Y,Y,C 1 sym,C 1 pen,C 1 pen,3660-Sirius_2019.jpg
3680,Sea Dragon,Y,3,N,N,,B no isl,B no isl,3680-SeaDragon_2019.jpg
3701,Eros,Y,2,N,N,,B no isl,B no isl,3701-Eros_2019.jpg
3701,Eros,Y,2,N,N,,B no isl,B no isl,3701-Eros_2019(1).jpg
3720,,Y,2,N,N,,B long pen coam,B long pen coam,3720_2019.jpg
3720,,Y,2,N,N,,B long pen coam,B long pen coam,3720_2019b.jpg
3730,,Y,2,N,N,,B long pen coam,B long pen coam,3730_2019.jpg
3730,,N,2,N,N,,C 1 pen,C 1 pen,3730_2019.jpg
3750,,Y,2,N,N,,B long coam w isl,B long coam w isl,3750_2019.jpg
3812,,Y,2,Y,Y,,B no isl,B 1 isl,3812_2019.jpg
3823,Sundog,Y,1,N,N,,B fused isl,B long coam w isl,3823_2019.jpg
3823,Sundog,Y,2,N,N,,B fused isl,B long coam w isl,3823_2019.jpg
3843,,N,2,N,N,C 2 pen L for,C 0 or 1 pen,C 0 or 1 pen,3843.jpg
3845,Mogul,N,2,Y,Y,,C 1 isl,C 1 isl,3845_Mogul_2019.jpg
3860,Bocce,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,3860-Bocce_2019.jpg
3860,Bocce,Y,4,N,N,B any 4 asym,B 2 isl,B 2 isl,3860-Bocce_2019.jpg
3890,,Y,3,N,N,B 2 isl R for,B fused isl,B 1 isl,3890.jpg
3892,,Y,2,N,N,,B no isl,B no isl,3892_2019.jpg
3904,Champagne,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,3904-Champagne_2019.jpg
3904,Champagne,Y,2,N,N,B any 4 asym,B 2 isl,B fused isl,3904-Champagne_2019.jpg
3912,Sickle,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,3912_2019.jpg
3920,Cottontail,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,3920_2019.jpg
3940,Koala,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,3940_Koala_2019.jpg
3942,,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,3942_2019.jpg
3946,,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,3946.jpg
3960,,Y,2,N,N,,B no isl,B no isl,3960_2019.jpg
3981,,N,2,Y,Y,,C no pen,C 0 or 1 pen,3981.jpg
3981,,N,2,Y,Y,,C no pen,C 0 or 1 pen,3981_2019.jpg
3989,,N,2,N,Y,C 1 sym,C 1 pen,C 1 pen,3989_2019.jpg
3992,,N,2,N,N,C 1 pen L for,C 1 pen,C isl,3992.jpg
3992,,N,2,N,N,C 1 pen L for,C 1 pen,C isl,3992_2019.jpg
4040,Chiminea,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,4040-Chiminea_2019.jpg
4042,,Y,2,N,N,B 2 isl L for,B 2 isl,B 1 isl,4042_2019.jpg
4057,FDR,N,2,Y,Y,,C 0 or 1 pen,C 2 pen,4057-FDR.jpg
4092,Flare,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,4092-Flare_2019.jpg
4094,Mayport,Y,2,Y,Y,,B long pen coam,B long pen coam,4094-Mayport.jpg
4123,,N,2,N,Y,C 2 pen L for,C 1 pen,C 1 pen,4123.jpg
4129,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,4129_2019.jpg
4129,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,4129_2019(1).jpg
4140,Casper,Y,1,N,N,B 2 isl L for,B 2 isl,B 1 isl,4140-Casper_2019.jpg
4140,Casper,Y,2,N,N,B 2 isl L for,B 2 isl,B 1 isl,4140-Casper_2019.jpg
4180,,Y,2,N,N,,B long pen coam,B long pen coam,4180_2019.jpg
4190,,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,4190_2019.jpg
4310,,Y,2,Y,Y,,B no isl,B no isl,4310-2019.jpg
4340,,Y,2,N,N,B 1 sym isl,B long coam w isl,B long coam w isl,4340_2019.jpg
4423,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,4423_2019.jpg
4440,,Y,2,N,N,,B long coam w isl,B long coam no isl,4440_2019.jpg
4445,Bishop,N,2,N,N,C 2 pen L for,C 1 pen,C 1 pen,4445-Bishop.jpg
4446,,Y,2,N,N,,B long pen coam,B long pen coam,4446_2019.jpg
4446,,Y,2,N,N,,B long pen coam,B long pen coam,4446_2019(1).jpg
4457,,Y,2,Y,Y,,B long pen coam,B long pen coam,4457_2019.jpg
4457,,Y,2,Y,Y,,B long pen coam,B long pen coam,4457_2019(1).jpg
4501,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 or 2 pen,4501_2019.jpg
4510,,Y,2,N,N,,B 1 isl,B 2 isl,4510_2019.jpg
4523,,Y,4,N,N,B 1 sym isl,B 1 isl,B 1 isl,4523_2019.jpg
4530,,Y,2,N,N,,B 2 isl,B 2 isl,4530.jpg
4539,,Y,2,N,Y,,B long pen coam,B long pen coam,4539_2019.jpg
4545,,Y,1,N,N,,B 2 isl,B 1 isl,4545_2019.jpg
4546,,Y,2,N,N,,B 2 isl,B 1 isl,4546.jpg
4601,Gully,N,3,N,N,C 1 sym,C 1 pen,C 1 pen,4601_2019.jpg
4612,,Y,2,N,N,,B long coam no isl,B long pen coam,4612_2019.jpg
4615,,Y,2,N,N,,B long pen coam,B long pen coam,4615_2019.jpg
4617,,N,2,Y,N,C 1 sym,C 1 pen,C 1 pen,4617_2019.jpg
4620,,N,2,N,Y,C 2 pen L for,C 1 pen,C 1 pen,4620.jpg
4620,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,4620.jpg
4633,,Y,2,Y,Y,,B long pen coam,B long pen coam,4633_2019.jpg
4650,Sebastian,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,4650_2019.jpg
4650,Sebastian,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,4650_2019b.jpg
,,Y,2,,,B 1 sym isl,B 1 isl,B 1 isl,_2019CalfOf3317_2019.jpg
,,N,2,,,,,,_G055_2019.jpg
,,N,2,,,C 2 pen L for,C 2 pen,C 1 pen,_2019CalfOf2791_2019(1).jpg
,,N,2,,,C 2 pen L for,C 2 pen,C 1 pen,_2019CalfOf2791_2019.jpg
,,N,2,,,C 2 pen R for,C 1 pen,C 1 pen,_2019CalfOf4180_2019.jpg
,,N,2,,,C 2 pen R for,C 1 pen,C 2 pen,_G055_2019.jpg
,,N,2,N,N,C any 4 asym,C 2 pen,C 2 pen,_G056_2019.jpg
,,Y,,,,B 1 sym isl,,,_2019CalfOf2503_2019.jpg
